Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
Université Bordeaux Montaigne;Gironde;Nouvelle Aquitaine;Bordeaux;Pessac;Licence - Portail Philosophie - Licence 1 Philosophie;135;919;913;131;100.0
Faculté de Médecine, Maïeutique, Sciences de la Santé - Institut catholique de Lille;Nord;Hauts-de-France;Lille;Lille;Licence - Pluridisciplinaire - Sciences pour l'Ingénieur et la Santé -  Accès Santé;40;318;280;38;100.0
Institut national universitaire Champollion;Tarn;Occitanie;Toulouse;Albi;CUPGE - Physique, Chimie - Parcours Cycle Ingénieur;20;320;160;19;75.0
Lycée professionnel Ampere;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille 10e  Arrondissement;Certificat de Spécialisation - Cybersécurité;15;121;66;13;92.0
IFEPSA - Facultés libres de l'ouest - UCO;Maine-et-Loire;Pays-de-la-Loire;Nantes;Les Ponts-de-Cé;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Kine IFMK - EFOM;20;760;92;22;19.0
IRTS PACA CORSE - Site de Digne-Les-Bains;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;Aix-Marseille;Digne-les-Bains;D.E Assistant de Service Social;6;12;6;2;50.0
IRTS PACA CORSE - Site de Digne-Les-Bains;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;Aix-Marseille;Digne-les-Bains;D.E Educateur Spécialisé;6;23;12;6;52.0
IDRAC Business School - Campus de Bordeaux;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;Formation des écoles de commerce et de management Bac + 3;30;38;23;5;64.0
Ecole d'horticulture et de paysage;Vosges;Grand-Est;Nancy-Metz;Roville-aux-Chênes;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;24;47;42;13;98.0
Lycée Elie Faure;Gironde;Nouvelle Aquitaine;Bordeaux;Lormont;BTS - Services - Management Commercial Opérationnel;35;773;229;33;43.0
Lycée Jean Condorcet;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BTS - Services - Assurance;34;471;221;28;65.0
Lycée Jean Condorcet;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BTS - Services - Comptabilité et gestion;34;629;254;24;54.0
Lycée Beaussier;Var;Provence-Alpes-Côte d'Azur;Nice;La Seyne-sur-Mer;BTS - Services - Collaborateur juriste notarial;15;266;87;11;57.0
Ecole nationale supérieure d'art et de design de Nancy;Meurthe-et-Moselle;Grand-Est;Nancy-Metz;Nancy;Diplôme National d'Art;17;233;41;17;22.0
Bachelor IDRAC Business School - Campus de GRENOBLE;Isère;Auvergne-Rhône-Alpes;Grenoble;Saint-Martin-d'Hères;Formation des écoles de commerce et de management Bac + 3;100;223;119;7;56.0
ESRA - Rennes;Ille-et-Vilaine;Bretagne;Rennes;Rennes;Formation des écoles supérieure d'art Bac + 3 - Etudes Supérieures en Film d'Animation;30;46;34;10;74.0
EiSINe - Charleville-Mézières;Ardennes;Grand-Est;Reims;Charleville-Mézières;Licence - Sciences pour l'ingénieur - Parcours Classe Préparatoire Intégrée à dominante Matériaux et Mécanique;40;114;53;7;51.0
Lycée agricole Sartene;Corse-du-Sud;Corse;Corse;Sartène;BTS - Agricole - Gestion et maitrise de l'eau;22;41;36;6;94.0
I.U.T. de Bordeaux - Site de Bordeaux-Bastide;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;BUT - Techniques de commercialisation;144;3722;276;144;8.0
Lycée Blaise Pascal;Indre;Centre;Orléans-Tours;Châteauroux;Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;12;30;19;3;71.0
I.U.T. d'Illkirch;Bas-Rhin;Grand-Est;Strasbourg;Illkirch-Graffenstaden;BUT - Information communication Parcours publicité - Double diplôme franco-allemand «Gestion d’entreprise et marketing »;3;37;7;2;24.0
Lycée Gregor Mendel;Val-de-Marne;Ile-de-France;Créteil;Vincennes;BTS - Production - Biotechnologies;36;289;156;23;82.0
Lycée Montplaisir;Drôme;Auvergne-Rhône-Alpes;Grenoble;Valence;DN MADE - Animation;15;472;40;15;10.0
Lycée polyvalent Jean Moulin;Hérault;Occitanie;Montpellier;Béziers;BTS - Production - Conception de produits industriels;30;175;88;22;71.0
Lycée polyvalent Jean Moulin;Hérault;Occitanie;Montpellier;Béziers;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);30;135;101;19;99.0
Lycée polyvalent Jean Moulin;Hérault;Occitanie;Montpellier;Béziers;BTS - Production - Electrotechnique;30;159;92;28;78.0
ECP - Ecole Commerciale Privée;Bas-Rhin;Grand-Est;Strasbourg;Strasbourg;Diplôme de Comptabilité et de Gestion;20;202;87;12;69.0
Université de Reims Champagne-Ardenne;Marne;Grand-Est;Reims;Reims;DEUST - Animation et gestion des activités physiques, sportives ou culturelles - Parcours Football;15;290;44;12;17.0
Lycée Leo Lagrange;Seine-Saint-Denis;Ile-de-France;Créteil;Bondy;FCIL - Conseiller de vente en produits et services de luxe;12;304;91;10;40.0
ECOLES AFLOKKAT SARROLA CARCOPINO;;Corse;Corse;Sarrola-Carcopino;Formation d'ingénieur Bac + 5 - Formation d'ingénieur MIRA spécialité robotique et informatique;25;57;35;11;68.0
Lycée professionnel Frederic Mistral;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  8e  Arrondissement;FCIL - Maintenance des Automobiles de Compétition et de Collection;10;155;13;11;10.0
Etablissement d'enseignement supérieur technique privé RUBIKA de VALENCIENNES;Nord;Hauts-de-France;Lille;Valenciennes;Formation des écoles supérieure d'art Bac + 5 - Réalisateur de jeu vidéo - Spécialisation Game Art;11;50;18;12;36.0
Lycée Jean Mermoz;Hérault;Occitanie;Montpellier;Montpellier;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;24;966;130;24;24.0
Lycée Jean Mermoz;Hérault;Occitanie;Montpellier;Montpellier;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;15;281;65;10;31.0
Lycée Jean Mermoz;Hérault;Occitanie;Montpellier;Montpellier;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);24;274;160;31;79.0
Institut Catholique de Toulouse - Site de Bordeaux;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;Licence - Psychologie;64;1187;411;52;54.0
Institut Catholique de Toulouse - Site de Bordeaux;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;Licence - Sciences de l'éducation et de la formation;48;297;241;32;100.0
Lycée des Métiers Pierre Mendès France;Hérault;Occitanie;Montpellier;Montpellier;BTS - Services - Gestion des transports et logistique associée;35;442;107;29;34.0
Lycée Irene et Frederic Joliot Curie;Hérault;Occitanie;Montpellier;Sète;BTS - Production - Conception et Réalisation de Systèmes Automatiques;24;181;96;21;76.0
Lycée Irene et Frederic Joliot Curie;Hérault;Occitanie;Montpellier;Sète;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;298;74;15;38.0
Lycée agricole Frédéric BAZILLE - Agropolis (Classes Agri);Hérault;Occitanie;Montpellier;Montpellier;BTS - Agricole - Viticulture-Oenologie;27;267;127;21;73.0
Institut Catholique de Toulouse;Haute-Garonne;Occitanie;Toulouse;Toulouse;Licence - Portail Lettres - Lettres Modernes;50;61;60;0;100.0
I.U.T de Montpellier-Sète - site de Montpellier - campus Occitanie;Hérault;Occitanie;Montpellier;Montpellier;BUT - Génie électrique et informatique industrielle;120;1527;770;108;70.0
